,x,Eb5
,Db5,x
Gb4,,
,,
x,Hb4,Gb5
,x,x
,Hb4,Gb5
,,
//---------,//---------,//---------
,x,Eb5
,Db5,x
Gb4,,
,,
x,Hb4,Gb5
,x,x
,Hb4,Gb5
,,
//---------,//---------,//---------
,x,Eb5
,Db5,x
Gb4,,
,,
x,Hb4,Gb5
,,
Eb4,x,x
,,
//---------,//---------,//---------
x,Hb4,Gb5
,,
Db4,x,x
,,
x,H4,F5
,x,x
,H4,F5
,,
//---------,//---------,//---------
,x,Eb5
,Db5,x
Db4,,
,,
x,H4,F5
,x,x
,H4,F5
,,
//---------,//---------,//---------
,x,Eb5
,Db5,x
Db4,,
,,
x,H4,F5
,x,x
,H4,F5
,,
//---------,//---------,//---------
,x,Eb5
,Db5,x
Db4,,
,,
x,H4,F5
,,
Eb4,x,x
,,
//---------,//---------,//---------
x,H4,F5
,,
Gb4,x,x
,,
x,Hb4,Gb5
,x,x
,Hb4,Gb5
,,
//---------,//---------,//---------
end,end,end
